Organization,aamc,aamc,aamc,aamc,aamc,aamc,aamc,aamc,aamc,ama,ama,ama,ama,ama,ama,ama,ama,nbme,nbme,nbme,nbme,nbme,nbme,nbme,nbme,nbme,nbome,nbome,nbome,nbome,nbome,nbome,nbome,nbome,nbome,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp,nrmp
BuildTS,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2016-03-07 17:11:31Z,2015-11-30 17:44:51Z,2016-02-25 16:41:14Z,2016-04-25 22:37:26Z,2017-02-10 21:41:12Z,2018-03-14 21:41:22Z,2019-02-21 02:37:17Z,2016-03-07 17:11:31Z,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2015-11-30 17:44:51Z,2016-02-25 16:41:14Z,2016-12-15 16:53:06Z,2017-02-10 21:41:12Z,2018-06-14 16:35:46Z,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2016-02-25 16:41:14Z,2015-11-30 17:44:51Z,2016-02-25 16:41:14Z,2016-09-27 15:27:22Z,2017-02-10 21:41:12Z,2018-06-14 16:35:46Z,2019-02-21 02:37:17Z,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2015-11-30 17:44:51Z,2016-02-25 16:41:14Z,2016-12-15 16:53:06Z,2017-02-10 21:41:12Z,2018-06-14 16:35:46Z,2019-02-21 02:37:17Z,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2016-02-24 21:20:13Z,2015-11-30 17:44:51Z,2016-03-07 17:11:31Z,2017-02-10 21:41:12Z,2017-02-10 21:41:12Z,2018-06-14 16:35:46Z,2019-02-21 02:37:17Z
PreparerFirmBusinessName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PreparerFirmUSAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BusinessNameLine1,Center for Education and Medicine Inc,Center for Education and Medicine Inc,Center for Education and Medicine Inc,Center for Education and Medicine Inc,Center for Education and Medicine Inc,RESTRICTED,RESTRICTED,RESTRICTED,,AMA Services Inc,AMA SERVICES INC,AMA SERVICES INC,AMA SERVICES INC,,,,,NBME,NBME,NBME,Data Commons LLC,,,,,,IAMRA,MACK & ASSOCIATES,MORGAN WEST,KFORCE INC,,,RESTRICTED,,,REED SMITH LLP,REED SMITH LLP,MINDSHIFT TECHNOLOGIES INC,REED SMITH LLP,,,,,
AddressLine1,2450 N STREET NW,2450 N STREET NW,2450 N STREET NW,2450 N STREET NW,655 K STREET NW,RESTRICTED,RESTRICTED,RESTRICTED,,515 North State Street,515 NORTH STATE STREET,330 N WABASH AVE STE 39300,330 N WABASH AVENUE SUITE 39300,,,,,3750 Market Street,3750 Market Street,3750 Market Street,3750 Market Street,,,,,,400 FULLER WISER ROAD SUITE 300,100 N LASALLE SUITE 2110,PO BOX 72284,PO BOX 277997,,,RESTRICTED,,,3110 FAIRVIEW PARK DRIVE 1400,3110 FAIRVIEW PARK DRIVE 1400,309 WAVERLY OAKS ROAD 301,3110 FAIRVIEW PARK DRIVE 1400,,,,,
City,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,RESTRICTED,RESTRICTED,RESTRICTED,,Chicago,CHICAGO,CHICAGO,CHICAGO,,,,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,,,,,,EULESS,CHICAGO,ROSELLE,ATLANTA,,,RESTRICTED,,,FALLS CHURCH,FALLS CHURCH,WALTHAM,FALLS CHURCH,,,,,
State,DC,DC,DC,DC,DC,RESTRICTED,RESTRICTED,RESTRICTED,,IL,IL,IL,IL,,,,,PA,PA,PA,PA,,,,,,TX,IL,IL,GA,,,RESTRICTED,,,VA,VA,MA,VA,,,,,
ZIPCode,20037,20037,20037,20037,20001,RESTRICTED,RESTRICTED,RESTRICTED,,60654.0,60654.0,606115885.0,606115885.0,,,,,19104.0,19104.0,19104.0,19104.0,,,,,,76039,60602,60172,30384,,,RESTRICTED,,,22042.0,22042.0,2452.0,22042.0,,,,,
EIN,521948724,521948724,521948724,521948724,521948724,521948724,521948724,521948724,521948724,362874262,362874262,362874262,362874262,362874262,363305962,981287229,981287229,232447706,232447706,232447706,232447706,232447706,232447706,232447706,232447706,232447706,364135679,364135679,364135679,364135679,364135679,364135679,364135679,364135679,364135679,362249886,362249886,362249886,362249886,362249886,362249886,362249886,362249886,362249886
Name,BERNARD JARVIS,BERNARD JARVIS,BERNARD JARVIS,BERNARD JARVIS,,,,,,Julie Dee,SHAWNA M JIMENEZ,SHAWNA M JIMENEZ,,,,,,Donald E Melnick,Donald E Melnick,Donald E Melnick,,,,,,,DIRK T AHLBECK,RANDALL S SYLVAN,GREGORY S ADAMS,,,,,,,MONA M SIGNER MPH,YUNG-HEE GALLINARO,YUNG-HEE GALLINARO,,,,,,
InCareOfName,,,% DANIEL BERRINGER CPA,% DANIEL BERRINGER CPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NameControl,ASSO,ASSO,ASSO,ASSO,,,,,,AMER,AMER,AMER,,,,,,NATI,NATI,NATI,,,,,,,NATI,NATI,NATI,,,,,,,NATI,NATI,NATI,,,,,,
Phone,7032868000.0,7032868000.0,7032868000.0,7032868000.0,,,,,,3124861000.0,3174648600.0,3174648600.0,,,,,,2155909500.0,2155909500.0,2155909500.0,,,,,,,8478244000.0,8475971800.0,6305738600.0,,,,,,,7039985100.0,7039985100.0,5712279500.0,,,,,,
USAddress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,SENIOR STAFF,SENIOR STAFF,SENIOR STAFF,"Sr. Director, Admissions",,,,,,"SVP, HR & Corp Services",PAST TRUSTEE,PAST TRUSTEE,,,,,,Director,"VP, Assess Prgms","VP, Med Ed & Health Prof Svcs",,,,,,,DIRECTOR RES,DIRECTOR REASEARCH,ASST VP FOR HR,,,,,,,STUDENT REPRESENTATIVE,CIO,CHIEF INFORMATION OFFICER,,,,,,
DateSigned,2011-02-02,2012-02-01,2013-01-28,2014-01-31,,,,,,2011-11-14,2012-11-12,2013-11-11,,,,,,2011-05-18,2012-05-11,2013-05-09,,,,,,,2011-05-04,2012-10-03,2013-09-12,,,,,,,2011-07-13,2012-06-28,2013-05-14,,,,,,
AuthorizeThirdParty,,,True,True,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,true,1,1,,,,,,,1.0,1.0,1.0,,,,,,
IRS990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRS990ScheduleR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NameOfPrincipalOfficerPerson,DARRELL G KIRCH MD,Darrell G Kirch MD,Darrell G Kirch MD,Darrell G Kirch MD,,,,,,James L Madara,JAMES L MADARA,JAMES L MADARA MD,,,,,,Donald E Melnick,Donald E Melnick,,,,,,,,JOHN GIMPEL DO,JOHN GIMPEL DO,JOHN GIMPEL DO,,,,,,,MONA M SIGNER MPH,MONA M SIGNER MPH,MONA M SIGNER MPH,,,,,,
AddressPrincipalOfficerUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossReceipts,250992890.0,369128498.0,210254368.0,150722228.0,,,,,,466265803.0,493671613.0,494839551.0,,,,,,151832219.0,126816562.0,130710852.0,,,,,,,22774397.0,31622326.0,30529296.0,,,,,,,6918817.0,5827295.0,6942501.0,,,,,,
GroupReturnForAffiliates,False,False,False,False,,,,,,0.0,0.0,0.0,,,,,,False,False,False,,,,,,,false,0,0,,,,,,,0.0,0.0,0.0,,,,,,
Organization501c3,,X,X,X,,,,,,,,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,
WebSite,WWW.AAMC.ORG,WWW.AAMC.ORG,www.aamc.org,www.aamc.org,,,,,,www.ama-assn.org,WWW.AMA-ASSN.ORG,WWW.AMA-ASSN.ORG,,,,,,www.nbme.org,www.nbme.org,www.nbme.org,,,,,,,WWW.NBOME.ORG,WWW.NBOME.ORG,WWW.NBOME.ORG,,,,,,,WWW.NRMP.ORG,WWW.NRMP.ORG,WWW.NRMP.ORG,,,,,,
TypeOfOrganizationCorporation,X,X,X,X,,,,,,X,X,X,,,,,,X,X,X,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,
YearFormation,1955.0,1955.0,1955.0,1955.0,,,,,,1847.0,1847.0,1847.0,,,,,,1915.0,1915.0,1915.0,,,,,,,1996.0,1996.0,1996.0,,,,,,,1952.0,1952.0,1952.0,,,,,,
StateLegalDomicile,IL,IL,IL,IL,,,,,,IL,IL,IL,,,,,,DC,DC,DC,,,,,,,IN,IN,IN,,,,,,,IL,IL,IL,,,,,,
ActivityOrMissionDescription,"AAMC LEADS THE ACADEMIC MEDICINE COMMUNITY AND STRENGTHENS THE WORLD'S MOST ADVANCED MEDICAL CARE BY SUPPORTING EDUCATION, RESEARCH AND PATIENT CARE ACTIVITIES CONDUCTED BY OUR MEMBER INSTITUTIONS.","AAMC LEADS THE ACADEMIC MEDICINE COMMUNITY AND STRENGTHENS THE WORLD'S MOST ADVANCED MEDICAL CARE BY SUPPORTING EDUCATION, RESEARCH AND PATIENT CARE ACTIVITIES CONDUCTED BY OUR MEMBER INSTITUTIONS.","AAMC LEADS THE ACADEMIC MEDICINE COMMUNITY AND STRENGTHENS THE WORLD'S MOST ADVANCED MEDICAL CARE BY SUPPORTING EDUCATION, RESEARCH, AND PATIENT CARE ACTIVITIES CONDUCTED BY OUR MEMBER INSTITUTIONS.","AAMC LEADS THE ACADEMIC MEDICINE COMMUNITY AND STRENGTHENS THE WORLD'S MOST ADVANCED MEDICAL CARE BY SUPPORTING EDUCATION, RESEARCH, AND PATIENT CARE ACTIVITIES CONDUCTED BY OUR MEMBER INSTITUTIONS.",,,,,,To further the interests of the medical profession by promoting the art and science of medicine and the betterment of public health.,SEE SCHEDULE O,TO FURTHER THE INTERESTS OF THE MEDICAL PROFESSION BY PROMOTING THE ARTAND SCIENCE OF MEDICINE AND THE BETTERMENT OF PUBLIC HEALTH.,,,,,,The mission of NBME is to protect the health of the public through state of the art assessment of health professionals.,The mission of NBME is to protect the health of the public through state of the art assessment of health professionals.,The mission of NBME is to protect the health of the public through state of the art assessment of health professionals.,,,,,,,TO PROTECT THE PUBLIC BY PROVIDING THE MEANS TO ASSESS COMPETENCIES FOR OSTEOPATHIC MEDICINE AND RELATED HEALTH CARE PROFESSIONS. SEE PART III FOR ADDITIONAL INFORMATION.,TO PROTECT THE PUBLIC BY ASSESSING COMPETENCIES FOR OSTEOPATHIC MEDICINE.,TO PROTECT THE PUBLIC BY ASSESSING COMPETENCIES FOR OSTEOPATHIC MEDICINE.,,,,,,,TO MATCH INTERN AND RESIDENCY APPLICANTS WITH HOSPITALS OF THEIR CHOICE.,TO MATCH INTERN AND RESIDENCY APPLICANTS WITH HOSPITALS OF THEIR CHOICE.,TO MATCH INTERN AND RESIDENCY APPLICANTS WITH HOSPITALS OF THEIR CHOICE.,,,,,,
NbrVotingMembersGoverningBody,17.0,17.0,17.0,17.0,,,,,,21.0,21.0,21.0,,,,,,10.0,12.0,12.0,,,,,,,21.0,22.0,22.0,,,,,,,20.0,20.0,19.0,,,,,,
NbrIndependentVotingMembers,16.0,16.0,16.0,16.0,,,,,,21.0,21.0,21.0,,,,,,9.0,11.0,11.0,,,,,,,17.0,20.0,20.0,,,,,,,19.0,19.0,19.0,,,,,,
TotalNbrEmployees,638.0,656.0,704.0,720.0,,,,,,1048.0,1051.0,1026.0,,,,,,441.0,447.0,464.0,,,,,,,138.0,165.0,181.0,,,,,,,0.0,0.0,14.0,,,,,,
TotalNbrVolunteers,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,408.0,502.0,520.0,,,,,,,600.0,622.0,660.0,,,,,,,0.0,20.0,0.0,,,,,,
TotalGrossUBI,282244.0,341632.0,419884.0,361383.0,,,,,,26459394.0,29329605.0,19237493.0,,,,,,-525618.0,-302100.0,-161928.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
ContributionsGrantsPriorYear,16332899.0,3260704.0,2674218.0,2410626.0,,,,,,42377457.0,38291369.0,37864411.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
ContributionsGrantsCurrentYear,3260704.0,2674218.0,2410626.0,2444511.0,,,,,,38291369.0,37864411.0,38916878.0,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
ProgramServiceRevenuePriorYear,86835250.0,105841316.0,113656520.0,117320068.0,,,,,,50207740.0,49848054.0,55858535.0,,,,,,101175477.0,106086642.0,111153205.0,,,,,,,12815258.0,14571525.0,16025585.0,,,,,,,3132843.0,4199069.0,4308495.0,,,,,,
ProgramServiceRevenueCY,105841316.0,113656520.0,117320068.0,133363474.0,,,,,,49848054.0,55858535.0,56904536.0,,,,,,106136698.0,111153205.0,117754415.0,,,,,,,14571525.0,16025585.0,18054232.0,,,,,,,4199069.0,4308495.0,4373120.0,,,,,,
InvestmentIncomePriorYear,-3445412.0,-866209.0,-10917212.0,1859930.0,,,,,,-9514527.0,13272900.0,13967752.0,,,,,,2915817.0,4098090.0,6048058.0,,,,,,,120820.0,216511.0,357529.0,,,,,,,-316237.0,233682.0,465732.0,,,,,,
InvestmentIncomeCurrentYear,-866209.0,-10917212.0,1859930.0,1793546.0,,,,,,13272900.0,13967752.0,18055478.0,,,,,,4098090.0,6048058.0,5459421.0,,,,,,,216511.0,357529.0,452437.0,,,,,,,233682.0,465732.0,617929.0,,,,,,
OtherRevenuePriorYear,1694743.0,1164477.0,819686.0,978717.0,,,,,,124807465.0,134599244.0,139362002.0,,,,,,-793486.0,-525618.0,-302100.0,,,,,,,20991.0,7740.0,102383.0,,,,,,,1275.0,2690.0,1575.0,,,,,,
OtherRevenueCurrentYear,1164477.0,819686.0,978717.0,938349.0,,,,,,134599244.0,139362002.0,125194921.0,,,,,,-525618.0,-302100.0,-161928.0,,,,,,,7740.0,102383.0,211470.0,,,,,,,2690.0,1575.0,2993.0,,,,,,
TotalRevenuePriorYear,101417480.0,109400288.0,106233212.0,122569341.0,,,,,,207878135.0,236011567.0,247052700.0,,,,,,103297808.0,109659114.0,116899163.0,,,,,,,12957069.0,14795776.0,16485497.0,,,,,,,2817881.0,4435441.0,4775802.0,,,,,,
TotalRevenueCurrentYear,109400288.0,106233212.0,122569341.0,138539880.0,,,,,,236011567.0,247052700.0,239071813.0,,,,,,109709170.0,116899163.0,123051908.0,,,,,,,14795776.0,16485497.0,18718139.0,,,,,,,4435441.0,4775802.0,4994042.0,,,,,,
GrantsAndSimilarAmntsPriorYear,165000.0,159850.0,134833.0,129833.0,,,,,,566331.0,522175.0,528838.0,,,,,,355246.0,613420.0,479916.0,,,,,,,10000.0,12500.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
GrantsAndSimilarAmntsCY,159850.0,134833.0,129833.0,163272.0,,,,,,522175.0,528838.0,506964.0,,,,,,613420.0,479916.0,496014.0,,,,,,,12500.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
BenefitsPaidToMembersPriorYear,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
BenefitsPaidToMembersCY,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
SalariesEtcPriorYear,51110426.0,56875130.0,60924075.0,64724470.0,,,,,,120448347.0,115412202.0,119491343.0,,,,,,56386880.0,52844287.0,52812252.0,,,,,,,5342704.0,6402115.0,7689759.0,,,,,,,0.0,0.0,0.0,,,,,,
SalariesEtcCurrentYear,56875130.0,60924075.0,64724470.0,70992350.0,,,,,,115412202.0,119491343.0,125304079.0,,,,,,52844287.0,52812252.0,57011002.0,,,,,,,6402115.0,7689759.0,8654807.0,,,,,,,0.0,0.0,2078228.0,,,,,,
TotalProfFundrsngExpPriorYear,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
TotalProfFundrsngExpCY,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
TotalFundrsngExpCurrentYear,882916.0,946410.0,1063276.0,1401121.0,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,
OtherExpensePriorYear,48418101.0,47793234.0,51036399.0,60366891.0,,,,,,100602768.0,104792123.0,105913286.0,,,,,,51358266.0,53070692.0,54942360.0,,,,,,,6014590.0,7139356.0,8295193.0,,,,,,,3491038.0,3454636.0,3808304.0,,,,,,
OtherExpensesCurrentYear,47793234.0,51036399.0,60366891.0,59626790.0,,,,,,104792123.0,105913286.0,97982369.0,,,,,,52319912.0,54942360.0,55972796.0,,,,,,,7139356.0,8295193.0,9271900.0,,,,,,,3454636.0,3808304.0,2932277.0,,,,,,
TotalExpensesPriorYear,99693527.0,104828214.0,112095307.0,125221194.0,,,,,,221617446.0,220726500.0,225933467.0,,,,,,108100392.0,106528399.0,108234528.0,,,,,,,11367294.0,13553971.0,15984952.0,,,,,,,3491038.0,3454636.0,3808304.0,,,,,,
TotalExpensesCurrentYear,104828214.0,112095307.0,125221194.0,130782412.0,,,,,,220726500.0,225933467.0,223793412.0,,,,,,105777619.0,108234528.0,113479812.0,,,,,,,13553971.0,15984952.0,17926707.0,,,,,,,3454636.0,3808304.0,5010505.0,,,,,,
RevenuesLessExpensesPriorYear,1723953.0,4572074.0,-5862095.0,-2651853.0,,,,,,-13739311.0,15285067.0,21119233.0,,,,,,-4802584.0,3130715.0,8664635.0,,,,,,,1589775.0,1241805.0,500545.0,,,,,,,-673157.0,980805.0,967498.0,,,,,,
RevenuesLessExpensesCY,4572074.0,-5862095.0,-2651853.0,7757468.0,,,,,,15285067.0,21119233.0,15278401.0,,,,,,3931551.0,8664635.0,9572096.0,,,,,,,1241805.0,500545.0,791432.0,,,,,,,980805.0,967498.0,-16463.0,,,,,,
TotalAssetsBOY,174880079.0,194403175.0,217602201.0,390136080.0,,,,,,448019354.0,494188040.0,502879547.0,,,,,,228533038.0,236958894.0,237662169.0,,,,,,,16490149.0,20059004.0,21432002.0,,,,,,,11076057.0,13059979.0,13852026.0,,,,,,
TotalAssetsEOY,194403175.0,217602201.0,390136080.0,412040406.0,,,,,,494188040.0,502879547.0,552895154.0,,,,,,243492983.0,237662169.0,263552349.0,,,,,,,20059004.0,21432002.0,24003226.0,,,,,,,13059979.0,13852026.0,17041956.0,,,,,,
TotalLiabilitiesBOY,89320420.0,88078269.0,88147360.0,262440903.0,,,,,,131743995.0,134733073.0,147899740.0,,,,,,123653206.0,119585196.0,121324650.0,,,,,,,6123249.0,8370200.0,9405063.0,,,,,,,1855172.0,1864206.0,2384774.0,,,,,,
TotalLiabilitiesEOY,88078269.0,88147360.0,262440903.0,269879647.0,,,,,,134733073.0,147899740.0,167502521.0,,,,,,122328067.0,121324650.0,131168147.0,,,,,,,8370200.0,9405063.0,11143777.0,,,,,,,1864206.0,2384774.0,4586683.0,,,,,,
NetAssetsOrFundBalancesBOY,85559659.0,106324906.0,129454841.0,127695177.0,,,,,,316275359.0,359454967.0,354979807.0,,,,,,104879832.0,117373698.0,116337519.0,,,,,,,10366900.0,11688804.0,12026939.0,,,,,,,9220885.0,11195773.0,11467252.0,,,,,,
NetAssetsOrFundBalancesEOY,106324906.0,129454841.0,127695177.0,142160759.0,,,,,,359454967.0,354979807.0,385392633.0,,,,,,121164916.0,116337519.0,132384202.0,,,,,,,11688804.0,12026939.0,12859449.0,,,,,,,11195773.0,11467252.0,12455273.0,,,,,,
InfoInScheduleOPartIII,,X,X,X,,,,,,X,X,X,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
